COSMIC_ID,CELL_LINE_NAME,TCGA_DESC,DRUG_ID,LN_IC50,Z_SCORE
1659823,SNU-1040,COREAD,1017,5.260362,0.531528
907792,LS-123,COREAD,1017,5.801784,0.943399
1660035,SNU-61,COREAD,1017,5.818012,0.955744
909751,SW48,COREAD,1022,-0.555038,-0.504758
905962,SW620,COREAD,1022,0.664026,0.300504
908442,NCI-H508,COREAD,1022,-0.604224,-0.537247
909740,SNU-C2B,COREAD,1022,0.253158,0.029103
909718,SK-CO-1,COREAD,1022,-1.13246,-0.886178
905971,HCC2998,COREAD,1022,-0.674802,-0.583868
1674021,SNU-C5,COREAD,1022,-1.265265,-0.973903
1659928,SNU-175,COREAD,1022,0.389361,0.119072
909748,SW1463,COREAD,1022,1.053454,0.557744
907790,LoVo,COREAD,1022,-1.463163,-1.104626
909746,SW1116,COREAD,1022,2.17378,1.297783
1240124,CL-40,COREAD,1022,1.216798,0.665642
907795,LS-513,COREAD,1022,0.631847,0.279248
908457,NCI-H747,COREAD,1022,1.777896,1.036279
909698,RKO,COREAD,1022,-1.161065,-0.905073
908458,NCI-H716,COREAD,1022,-0.860396,-0.706464
1660036,SNU-81,COREAD,1022,1.582879,0.907459
907794,LS-411N,COREAD,1022,-1.105931,-0.868654
907291,GP5d,COREAD,1022,-1.095908,-0.862033
1240173,MDST8,COREAD,1022,-1.940141,-1.419697
909747,SW1417,COREAD,1022,2.158942,1.287982
909761,T84,COREAD,1022,-0.579413,-0.520858
1290771,CL-34,COREAD,1022,1.463914,0.828876
910905,SNU-C1,COREAD,1022,-0.863789,-0.708705
909755,SW837,COREAD,1022,0.427439,0.144225
1290769,CL-11,COREAD,1022,0.121705,-0.05773
905939,HT-29,COREAD,1022,-1.186251,-0.92171
909263,RCM-1,COREAD,1022,-0.522975,-0.483578
905937,HCT-15,COREAD,1022,0.198563,-0.006961
924108,CaR-1,COREAD,1022,0.875459,0.440168
1789883,DiFi,COREAD,1022,-0.343603,-0.365092
905961,COLO-205,COREAD,1022,1.064335,0.564931
907287,HT55,COREAD,1022,0.639448,0.284269
909757,SW948,COREAD,1022,-0.051675,-0.172257
917486,LS-1034,COREAD,1022,1.592553,0.913849
910554,CW-2,COREAD,1022,2.036421,1.20705
1660034,SNU-407,COREAD,1022,1.283246,0.709535
1240123,CCK-81,COREAD,1022,-1.417643,-1.074558
905936,HCT-116,COREAD,1022,0.572538,0.240071
905989,KM12,COREAD,1022,-2.264723,-1.634102
998189,LS-180,COREAD,1022,0.330998,0.08052
907289,HT-115,COREAD,1022,2.527556,1.531472
910700,C2BBe1,COREAD,1022,2.985643,1.834065
910569,COLO-320-HSR,COREAD,1022,-0.693927,-0.596502
910689,COLO-678,COREAD,1022,5.056397,3.201917
1659823,SNU-1040,COREAD,1022,-0.472345,-0.450134
907792,LS-123,COREAD,1022,0.49173,0.186693
1660035,SNU-61,COREAD,1022,1.241744,0.68212
909751,SW48,COREAD,1025,4.280788,-0.903376
905962,SW620,COREAD,1025,7.087487,1.088127
908442,NCI-H508,COREAD,1025,3.061868,-1.768264
909740,SNU-C2B,COREAD,1025,6.859013,0.926012
909718,SK-CO-1,COREAD,1025,3.814028,-1.234567
905971,HCC2998,COREAD,1025,5.343606,-0.14925
1674021,SNU-C5,COREAD,1025,4.816322,-0.523386
1659928,SNU-175,COREAD,1025,4.049538,-1.06746
