"CID","MolecularFormula","MolecularWeight","CanonicalSMILES"
24788740,"C24H32ClN5O2",458.000000,"CC1CC(C2=C1C(=NC=N2)N3CCN(CC3)C(=O)C(CNC(C)C)C4=CC=C(C=C4)Cl)O"
56941241,"C26H20ClFN2O2",446.900000,"CCC(=C(C1=CC=C(C=C1)C=CC(=O)O)C2=CC3=C(C=C2)NN=C3)C4=C(C=C(C=C4)F)Cl"
16224745,"C15H18BrN7",376.250000,"CN1C=C(C=N1)C2=C3N=C(C(=C(N3N=C2)N)Br)C4CCCNC4"
60750,"C9H11F2N3O4",263.200000,"C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F"
1401,"C28H41N7O3",523.700000,"CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C"
5311,"C14H20N2O3",264.320000,"C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO"
44450571,"C18H13N3OS2",351.400000,"C1=CC2=C(C=CC(=C2)C=C3C(=O)N=C(S3)NCC4=CC=CS4)N=C1"
2733526,"C26H29NO",371.500000,"CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3"
51042438,"C18H16Cl2F2N4O2",429.200000,"CN1C(=C(C=N1)Cl)C2=C(OC(=C2)C(=O)NC(CC3=CC(=C(C=C3)F)F)CN)Cl"
46907787,"C23H25ClN4O2S",457.000000,"CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C"
5311497,"C45H54N4O8",778.900000,"CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC"
9826528,"C16H14F3IN2O4",482.190000,"C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O"
91668541,"C22H22F3N3O3S2",497.600000,"CCN1C=C(C2=C(C1=O)C=C(S2)C(=NC3CCS(=O)(=O)CC3)N)C4=CC(=CC=C4)C(F)(F)F"
992586,"C18H14BrNO5S2",468.300000,"C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=C(C=C3)Br"
8269,"C24H19NO5",401.400000,"CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C"
104741,"C32H47F5O3S",606.800000,"CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F"
5978,"C46H56N4O10",825.000000,"CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O"
46236925,"C42H40N2O8",700.800000,"CC1=CC2=C(C(=C(C=C2C(=C1C3=C(C4=CC(=C(C(=C4C=C3C)C(=O)NCC(C)C5=CC=CC=C5)O)O)O)O)O)O)C(=O)NCC(C)C6=CC=CC=C6"
66577015,"C18H22ClF3N6O2",446.900000,"C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4.Cl"
46843057,"C18H17Cl2FN4OS",427.300000,"CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)NC(CC3=CC(=CC=C3)F)CN)Cl"
644241,"C28H22F3N7O",529.500000,"CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5"
24771867,"C27H20ClFN4O4",518.900000,"COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC"
36314,"C47H51NO14",853.900000,"CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C"
51001932,"C24H28N8O2",460.500000,"CC1=NN(C(=N1)C2=CN3CCOC4=C(C3=N2)C=CC(=C4)C5=CN(N=C5)C(C)(C)C(=O)N)C(C)C"
176158,"C19H12Cl2N2O2",371.200000,"CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl"
5278396,"C21H17NO3S2",395.500000,"C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4"
156422,"C31H37N5O3",527.700000,"CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5"
24856436,"C27H32N8O2",500.600000,"CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O"
5394,"C6H6N6O2",194.150000,"CN1C(=O)N2C=NC(=C2N=N1)C(=O)N"
24360,"C20H16N2O4",348.400000,"CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O"
42642645,"C34H34F2N4O6",632.700000,"COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F"
520459,"C10H8N2O2S",220.250000,"C1=CC(=CC=C1C=C2C(=O)N=C(S2)N)O"
